Award Title,Movie Title,Nominee Name(s),Won,Year
Best Picture,I'm Still Here,"Maria Carlota Bruno and Rodrigo Teixeira, Producers",0,2025
Best Picture,Nickel Boys,"Dede Gardner, Jeremy Kleiner and Joslyn Barnes, Producers",0,2025
Best Picture,The Substance,"Coralie Fargeat and Tim Bevan & Eric Fellner, Producers",0,2025
Best Picture,Wicked,"Marc Platt, Producer",0,2025
Production Design,Wicked,Nathan Crowley; Set Decoration: Lee Sandales,1,2025
Production Design,The Brutalist,Judy Becker; Set Decoration: Patricia Cuccia,0,2025
Production Design,Conclave,Suzie Davies; Set Decoration: Cynthia Sleiter,0,2025
Production Design,Dune: Part Two,Patrice Vermette; Set Decoration: Shane Vieau,0,2025
Production Design,Nosferatu,Craig Lathrop; Set Decoration: Beatrice Brentnerová,0,2025
Live Action Short Film,I'm Not a Robot,Victoria Warmerdam and Trent,1,2025
Live Action Short Film,A Lien,Sam Cutler-Kreutz and David Cutler-Kreutz,0,2025
Live Action Short Film,Anuja,Adam J. Graves and Suchitra Mattai,0,2025
Live Action Short Film,The Last Ranger,Cindy Lee and Darwin Shaw,0,2025
Live Action Short Film,The Man Who Could Not Remain Silent,Nebojša Slijepčević and Danijel Pek,0,2025
Sound,Dune: Part Two,"Gareth John, Richard King, Ron Bartlett and Doug Hemphill",1,2025
Sound,A Complete Unknown,"Tod A. Maitland, Donald Sylvester, Ted Caplan, Paul Massey and David Giammarco",0,2025
Sound,Emilia Pérez,"Erwan Kerzanet, Aymeric Devoldère, Maxence Dussère, Cyril Holtz and Niels Barletta",0,2025
Sound,Wicked,"Simon Hayes, Nancy Nugent Title, Jack Dolman, Andy Nelson and John Marquis",0,2025
Sound,The Wild Robot,"Randy Thom, Brian Chumney, Gary A. Rizzo and Leff Lefferts",0,2025
Visual Effects,Dune: Part Two,"Paul Lambert, Stephen James, Rhys Salcombe and Gerd Nefzer",1,2025
Visual Effects,Alien: Romulus,"Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin and Shane Mahan",0,2025
Visual Effects,Better Man,"Luke Millar, David Clayton, Keith Herft and Peter Stubbs",0,2025
Visual Effects,Kingdom of the Planet of the Apes,"Erik Winquist, Stephen Unterfranz, Paul Story and Rodney Burke",0,2025
Visual Effects,Wicked,"Pablo Helman, Jonathan Fawkner, David Shirk and Paul Corbould",0,2025
Writing (Adapted Screenplay),Conclave,Peter Straughan,1,2025
Writing (Adapted Screenplay),A Complete Unknown,James Mangold and Jay Cocks,0,2025
Writing (Adapted Screenplay),Emilia Pérez,"Jacques Audiard, Thomas Bidegain, Léa Mysius and Nicolas Livecchi",0,2025
Writing (Adapted Screenplay),Nickel Boys,RaMell Ross & Joslyn Barnes,0,2025
Writing (Adapted Screenplay),Sing Sing,"Clint Bentley, Greg Kwedar, Clarence Maclin, John ""Divine G"" Whitfield",0,2025
Writing (Original Screenplay),Anora,Sean Baker,1,2025
Writing (Original Screenplay),The Brutalist,"Brady Corbet, Mona Fastvold",0,2025
Writing (Original Screenplay),A Real Pain,Jesse Eisenberg,0,2025
Writing (Original Screenplay),5-Sep,"Moritz Binder, Tim Fehlbaum, Alex David",0,2025
Writing (Original Screenplay),The Substance,Coralie Fargeat,0,2025
Actor in a Leading Role,Oppenheimer,Cillian Murphy,1,2024
Actor in a Leading Role,Maestro,Bradley Cooper,0,2024
Actor in a Leading Role,Rustin,Colman Domingo,0,2024
Actor in a Leading Role,The Holdovers,Paul Giamatti,0,2024
Actor in a Leading Role,American Fiction,Jeffrey Wright,0,2024
Actor in a Supporting Role,Oppenheimer,Robert Downey Jr.,1,2024
Actor in a Supporting Role,American Fiction,Sterling K. Brown,0,2024
Actor in a Supporting Role,Killers of the Flower Moon,Robert De Niro,0,2024
Actor in a Supporting Role,Barbie,Ryan Gosling,0,2024
Actor in a Supporting Role,Poor Things,Mark Ruffalo,0,2024
Actress in a Leading Role,Poor Things,Emma Stone,1,2024
Actress in a Leading Role,Nyad,Annette Bening,0,2024
Actress in a Leading Role,Killers of the Flower Moon,Lily Gladstone,0,2024
Actress in a Leading Role,Anatomy of a Fall,Sandra Hüller,0,2024
Actress in a Leading Role,Maestro,Carey Mulligan,0,2024
Actress in a Supporting Role,The Holdovers,Da'Vine Joy Randolph,1,2024
Actress in a Supporting Role,Oppenheimer,Emily Blunt,0,2024
