Movie Title,Description,Genre,Cast,Studios
Vice,George W. Bush picks Dick Cheney the CEO of Halliburton Co. to be his Republican running mate in the 2000 presidential election. No stranger to politics Cheneys impressive résumé includes stints as White House chief of staff House Minority Whip and Defense Secretary. When Bush wins by a narrow margin Cheney begins to use his newfound power to help reshape the country and the world.,Drama Comedy History,Christian Bale Amy Adams Steve Carell Sam Rockwell Alison Pill Eddie Marsan Justin Kirk LisaGay Hamilton Jesse Plemons Bill Camp Don McManus Lily Rabe Shea Whigham Stephen Adly Guirgis Tyler Perry Josh Latzer Jeff Bosley Camille James Harman Jillian Armenante Matthew Jacobs Robert L. Hughes Scott Christopher Amir Malaklou Paul Perri Edward Fletcher Brian Woo Young Chung Kawa Mawlayee Alex MacNicoll Cailee Spaeny Brandon Sklenar Casey Sander Joe Sabatino Fay Masterson Dan Gilvary Stephen Friedrich Kyle S. More Robyn Wholey Betsy Koch Elliot Zetumer Kirk Bovill Violet Hicks Colyse Harger Brandon Bales Brian Poth Sam Massaro Doug Simpson Scott Subiono Dennis LaValle Al Carabello Melissa K. Marks Treisa Gary Chris Dougherty John Hillner Grace Rowe Michael Reilly Burke Staci Roberts William Goldman Tony Forsmark Adam Bartley Daniel Bruington Vishesh Chachra Kevin Flood Michael A. Naggi Melissa Schumacher Delpaneaux Wills Scott Alan Smith Paul Yoo Brandon Firla Omid Zader David Yahya Karim Saleh Terri Cavanaugh Stewart J. Zully Ptolemy Slocum Melody Hollis Matt Champagne Joseph Beck Tony Graham Alex Kingi Vanessa Cloke David Fabrizio Matt Miller Mark Bramhall Holly Hawkins John Kellar Dustin Green James Hornbeck Robert Loftin Kevin Symons Stacie Greenwell Amy Moorman Naomi Watts Aidan Gail Alfred Molina,Annapurna Pictures Gary Sanchez Productions Plan B Entertainment
A Star Is Born,Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Allys career takes off the personal side of their relationship is breaking down as Jack fights an ongoing battle with his own internal demons.,Music Romance Drama,Lady Gaga Bradley Cooper Sam Elliott Andrew Dice Clay Rafi Gavron Anthony Ramos Dave Chappelle Alec Baldwin Marlon Williams Brandi Carlile Ron Rifkin Barry Shabaka Henley Michael D. Roberts Michael Harney Rebecca Field Derek Kevin Jones Willam Belli Dennis Tong Josh Wells Greg Grunberg D.J. Shangela Pierce Eddie Griffin Drena De Niro Sanaa Chappelle Leandro De Niro Rodriguez Jacob Schick Gabe Fazio Benjamin Rice Halsey William H. Slattery III Matthew Libatique Robert S. Wilhelm Jr. Luenell Lukas Nelson Anthony LoGerfo Alberto Bof Corey McCormick Jesse Siebenberg Tato Melgar Don Was Victor Indrizzo George Doering Michael Bearden Lenny Castro Chris Kelly Don Roy King Gena Rositano Greg Scarnici Michael Mancini Richy Jackson Christine Grady Imani Wisdom Christopher Martinez Amanda Balen Montana Efaw Caroline M. Diamond Sloan-Taylor Rabinor China Taylor Hunter Goligoski Joey Courteau Julian Astudillo Frank Anello,Warner Bros. Pictures Live Nation Productions Metro-Goldwyn-Mayer Peters Entertainment Gerber Pictures Joint Effort
At Eternity's Gate,Famed but tormented artist Vincent van Gogh spends his final years in Arles France painting masterworks of the natural world that surrounds him.,Drama,Willem Dafoe Rupert Friend Oscar Isaac Mads Mikkelsen Mathieu Amalric Emmanuelle Seigner Niels Arestrup Anne Consigny Amira Casar Vincent Perez Lolita Chammah Stella Schnabel Alexis Michalik Vladimir Consigny Arthur Jacquin Solal Forte Vincent Grass Clément Lhuaire Alan Aubert-Carlin Laurent Bateau Frank Molinaro Montassar Alaya Didier Jarre Thierry Nenez Johan Kugelberg François Delaive Nicolas Abraham Manuel Guillot Paul Théotime Romane Libert Milo Aubriet Clélia Robin-Oeustreicher Arthur Gloanec Alfred Boch Ludmilla Roitbourd Louis Garrel Victor Pontecorvo,Iconoclast Rahway Road Productions Riverstone Pictures SPK Pictures RocketScience
Green Book,Tony Lip a bouncer in 1962 is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line relied on a guide called The Negro Motorist Green Book.,Drama History,Viggo Mortensen Mahershala Ali Linda Cardellini Sebastian Maniscalco Dimiter D. Marinov P.J. Byrne Mike Hatton Joe Cortese Maggie Nixon Von Lewis Jon Sortland Don Stark Anthony Mangano Paul Sloan Quinn Duffy Seth Hurwitz Hudson Galloway Gavin Foley Rodolfo Vallelonga Louis Venere Frank Vallelonga Don DiPetta Jenna Laurenzo Suehyla El-Attar Young Kenneth Israel Derrick Spears Johnny Williams Randal Gonzalez Iqbal Theba Sharon Landry Nick Vallelonga David An Mike Cerrone Peter Gabb Gertrud Sigle Geraldine Singer Ron Flagge Martin Bats Bradford Ted Huckabee Gralen Bryant Banks Sam Malone Floyd Miles David Kallaway James W. Evermore Harrison Stone Ricky Muse Tom Virtue Christina Simpkins Kermit Burns III Lindsay Brice Shane Partlow Daniel Greene Brian Distance Craig DiFrancia Dennis W. Hall Leslie Castay David Simpson Jim Klock Billy Breed Dane Rhodes Brian Stepanek Jon Michael Davis Montrel Miller Ninja N. Devoe Brian Hayes Currie,Participant DreamWorks Pictures Cinetic Media Innisfree Pictures
BlacKkKlansman,Colorado Springs late 1970s. Ron Stallworth an African American police officer and Flip Zimmerman his Jewish colleague run an undercover operation to infiltrate the Ku Klux Klan.,Drama History Crime Comedy,John David Washington Adam Driver Topher Grace Laura Harrier Alec Baldwin Jasper Pääkkönen Corey Hawkins Paul Walter Hauser Ryan Eggold Isiah Whitlock Jr. Robert John Burke Brian Tarantina Arthur J. Nascarella Ken Garito Frederick Weller Michael Buscemi Damaris Lewis Ato Blankson-Wood Dared Wright Faron Salisbury Ashlie Atkinson Victor Colicchio Paul Diomede Elise Hudson Danny Hoch Nicholas Turturro Ryan Preimesberger Harry Belafonte Gina Belafonte Ernest Rayford James Campbell Jared Johnston Michael J. Burg Jeremy J. Nelson Nichelle Bolden Donald Trump,Focus Features Legendary Pictures QC Entertainment Blumhouse Productions Monkeypaw Productions 40 Acres and a Mule Filmworks Perfect World Pictures
Can You Ever Forgive Me?,When a bestselling celebrity biographer is no longer able to get published because she has fallen out of step with current tastes she turns her art form to deception.,Drama History Comedy Crime,Melissa McCarthy Richard E. Grant Dolly Wells Ben Falcone Gregory Korostishevsky Jane Curtin Stephen Spinella Christian Navarro Pun Bandhu Erik LaRay Harvey Brandon Scott Jones Shae DLyn Rosal Colon Anna Deavere Smith Marc Evan Jackson Marcella Lowery Roberta Wallach Tina Benko Sandy Rosenberg Kevin Carolan Ben Rauch Ethel Fisher Chris Lamberth Joanna Adler Mary B. McCann Michael Laurence Michael Cyril Creighton Alice Kremelberg Moisés Acevedo Lucy DeVito Josh Evans Ricky Garcia Charlotte Mary Wen Marcus Choi Justin Vivian Bond Tim Cummings Havilah Brewster Dann Fink Zabryna Guevara Bonita Hamilton Dan McCabe Sean Oliver Lori Prince Armando Riesco Sandy Rustin George Aloi Tiffany Blair Linwood Brown Kevin Cristaldi Barbara Ann Davison Peter Donovan Antoine Drye Liz Eng George R. Golden Anne Hollister Katie Kocik Ron Maestri Doris McCarthy Wayne J. Miller Bill Walters,Archer Gray
The Favourite,England early 18th century. The close relationship between Queen Anne and Sarah Churchill is threatened by the arrival of Sarahs cousin Abigail Hill resulting in a bitter rivalry between the two cousins to be the Queens favourite.,Thriller Drama Comedy History,Emma Stone Olivia Colman Rachel Weisz Nicholas Hoult Joe Alwyn Mark Gatiss James Smith Jenny Rainsford Emma Delves Faye Daveney Paul Swaine Jennifer White Lilly-Rose Stevens Denise Mack Willem Dalby Edward Aczel Carolyn Saint-Pé John Locke Everal Walsh Timothy Innes Basil Eidenbenz James Melville Declan Wyer Anthony Dougall Ben English Peter Brookes Wilson Mbomio Gavin Henderson Callum Lewin Liam Fleming Angela Hicks Martin Pemberton Luca Wiseman James Perrin Hana McDowell Sam Kemp Djordje Jovanovic Alexis Bennett Chris elms Tim Ingall Keith Milner Alfrun Rose Keval Shah Janette Sharpe Luke Thallon Jack Veal Zenobia Voegele-Downing Emily Vinnicombe Hannah Morley Poppy Lawless Roisin Keogh Elizabeth Ita Errol Clayton Antonia Castilla Samuel Bossman Paul Wingrove Nathan Lang Frank Gordon Isaura Barbé-Brown Phelim Kelly Leigh Dent Kemal Shah,Waypoint Entertainment Element Pictures Scarlet Films Film4 Productions Fox Searchlight Pictures
Roma,In 1970s Mexico City two domestic workers help a mother of four while her husband is away for an extended period of time.,Drama,Yalitza Aparicio Marina de Tavira Diego Cortina Autrey Carlos Peralta Marco Graf Daniela Demesa Nancy García García Verónica García Fernando Grediaga Jorge Antonio Guerrero José Manuel Guerrero Mendoza Andy Cortés Victor Manuel Resendiz Ruiz Zarela Lizbeth Chinolla Arellano José Luis López Gómez Edwin Mendoza Ramírez Clementina Guadarrama Enoc Leaño Nicolás Peréz Taylor Félix Kjartan Halvorsen Alejandra Herrera Luca De Massis,Participant Esperanto Filmoj
The Wife,A wife questions her life choices as she travels to Stockholm with her husband where he is slated to receive the Nobel Prize for Literature.,Drama,Glenn Close Jonathan Pryce Christian Slater Max Irons Harry Lloyd Annie Starke Elizabeth McGovern Johan Widerberg Karin Franz Körlof Richard Cordery Jan Mybrand Anna Azcárate Peter Forbes Fredric Gildea Jane Garioni Alix Wilton Regan Nick Fletcher Mattias Nordkvist Suzanne Bertish Grainne Keenan Isabelle von Meyenburg Morgane Polanski Twinnie Lee Moore John Moraitis Michael Benz Johanna Andersson Catharina Christie Carolin Stoltz Håkan Pettersson Ossian Skarsgård,Anonymous Content Meta Film London Silver Reel Tempo Productions Embankment Films Creative Scotland Spark Film & TV Chimney Sweden Film i Väst
If Beale Street Could Talk,After her fiance is falsely imprisoned a pregnant African-American woman sets out to clear his name and prove his innocence.,Drama Romance,KiKi Layne Stephan James Regina King Teyonah Parris Colman Domingo Ethan Barrett Milanni Mines Ebony Obsidian Dominique Thorne Michael Beach Aunjanue Ellis-Taylor Diego Luna Emily Rios Ed Skrein Finn Wittrock Brian Tyree Henry Dave Franco Bobby Conte Thornton Marcia Jean Kurtz Pedro Pascal Kaden Byrd,Annapurna Pictures Plan B Entertainment PASTEL
