Movie Title,Description,Genre,Cast,Studios
The Neighbors' Window,The story of a middle-aged woman with small children whose life is shaken up when two free-spirited twenty-somethings move in across the street.,Drama,Maria Dizzia Greg Keller Juliana Canfield Bret Lada Lorelei Smith McGregory Frederique Peter Farrell,Marshall Curry Productions
Brotherhood,Kid campers fight to survive when their canoe capsizes.,Drama,Brendan Fehr Brendan Fletcher Jake Manley Spencer MacPherson Dylan Everett Gage Munroe Sam Ashe Arnold Evan Marsh Mike Taylor Matthew Isen Jon Ambrose Perry Mucci Braden Wright Daniel Gravelle Haig McGarry,Industry Pictures / Thinkfilmwest Karma Film Inc.
Nefta Football Club,In the south of Tunisia two football fan brothers bump into a donkey lost in the middle of the desert on the border of Algeria. Strangely the animal wears headphones over its ears.,Drama Comedy,Eltayef Dhaoui Mohamed Ali Ayari Lyes Salem Hichem Mesbah,Les Valseurs France 2 Région des Pays-de-la-Loire CNC
Saria,SARIA explores the unimaginable hardships that faced young female orphans at the Virgen de La Asuncion Safe Home in Guatemala leading up to the tragic fire which claimed 41 of their lives in 2017.,Drama,Estefanía Tellez Gabriela Ramírez Verónica Zúñiga Jorge Ávila Lisset Hernández,Hungry Man Tonic Films
A Sister,A night. A car. Alie is in danger. To get by she must make the most important phone call of her life.,Drama Thriller,Veerle Baetens Selma Alaoui Guillaume Duhesme,Versus Production
Ad Astra,The near future a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.,Science Fiction Drama,Brad Pitt Tommy Lee Jones Ruth Negga John Ortiz Liv Tyler Donald Sutherland Greg Bryk Loren Dean Kimberly Elise John Finn LisaGay Hamilton Donnie Keshawarz Bobby Nish Sean Blakemore Freda Foh Shen Kayla Adams Ravi Kapoor Elisa Perry Daniel Sauli Kimmy Shields Kunal Dudheker Alyson Reed Sasha Compère Justin Dray Alexandria Rousset Natasha Lyonne Zoro Saro Manuel Daghlian Jacob Sandler Elizabeth Willaman Robert J. Yowell Nicholas Walker Amanda Tudesco Lisa Shows Brynn Route Valeri Ross Rochelle Rose Eloy Perez Melvin Payne Jr. Jean-Pierre Mouzon Jen Morillo Noelle Messier Anne McDaniels Kento Matsunami Mallory Low Sheila M. Lockhart Donna Lee Halszka Kuza Matthew Jones Bayani Ison Danny Hamouie Georgia James Gray Eleanor Goodall Luis Richard Gomez Eliza Gerontakis Vivian Fleming-Alvarez Lorell Bird Dorfman Lawrence Dex Bayardo De Murguia Rodney Damon Collins,New Regency Productions MadRiver Pictures Plan B Entertainment RT Features Bona Film Group TSG Entertainment Keep Your Head Productions 20th Century Fox
Avengers: Endgame,After the devastating events of Avengers: Infinity War the universe is in ruins due to the efforts of the Mad Titan Thanos. With the help of remaining allies the Avengers must assemble once more in order to undo Thanos actions and restore order to the universe once and for all no matter what consequences may be in store.,Science Fiction Action Adventure,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Josh Brolin Don Cheadle Paul Rudd Benedict Cumberbatch Chadwick Boseman Brie Larson Tom Holland Karen Gillan Zoe Saldaña Evangeline Lilly Tessa Thompson Rene Russo Elizabeth Olsen Anthony Mackie Sebastian Stan Tom Hiddleston Danai Gurira Benedict Wong Pom Klementieff Dave Bautista Letitia Wright John Slattery Tilda Swinton Jon Favreau Hayley Atwell Natalie Portman Marisa Tomei Taika Waititi Angela Bassett Michael Douglas Michelle Pfeiffer William Hurt Cobie Smulders Sean Gunn Winston Duke Linda Cardellini Maximiliano Hernández Frank Grillo Hiroyuki Sanada Tom Vaughan-Lawlor James DArcy Jacob Batalon Vin Diesel Bradley Cooper Gwyneth Paltrow Robert Redford Chris Pratt Samuel L. Jackson Lexi Rabe Ross Marquand Joe Russo Emma Fuhrmann Michael James Shaw Terry Notary Kerry Condon Ben Sakamoto Ava Russo Cade Woodward Stan Lee Yvette Nicole Brown Callan Mulvey Lia Mariella Russo Julian Russo Taylor Patterson Agostino Rosalina Ken Jeong Ty Simpkins Jackson A. Dunn Lee Moore Bazlo LeClair Loen LeClair Matthew Berry Joy McAvoy John Michael Morris Michael A. Cook Brent McGee Brian Schaeffer Jamie Wedel Anthony G Breed Erica Ribley Monique Ganderton Jim Starlin Jimmy Ray Pickens Hye Jin Jang Russell Bobbitt James Lin Jack Champion Sam Hargrave Patrick Gorman Aaron Lazar Robert Pralgo Tom Wisdom John Posey Ameenah Kaplan Olaniyan Thurmon Jennifer Elmore Mike Lutz Donald Mustard Robert Tinsley,Marvel Studios
The Lion King,Simba idolizes his father King Mufasa and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cubs arrival. Scar Mufasas brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal tragedy and drama ultimately resulting in Simbas exile. With help from a curious pair of newfound friends Simba will have to figure out how to grow up and take back what is rightfully his.,Family Adventure Drama Animation,Chiwetel Ejiofor John Oliver Donald Glover James Earl Jones John Kani Alfre Woodard Beyoncé JD McCrary Shahadi Wright Joseph Penny Johnson Jerald Keegan-Michael Key Eric André Florence Kasumba Seth Rogen Billy Eichner Amy Sedaris Chance the Rapper Josh McCrary Phil LaMarr J. Lee,Walt Disney Pictures Fairview Entertainment
Knives Out,When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlans dysfunctional family to his devoted staff Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlans untimely death.,Mystery Comedy Crime,Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis Michael Shannon Don Johnson Toni Collette LaKeith Stanfield Christopher Plummer Katherine Langford Jaeden Martell Riki Lindhome Edi Patterson Frank Oz K Callan Noah Segan M. Emmet Walsh Marlene Forte Raúl Castillo Shyrley Rodriguez Kerry Frances Gary Tanguay Octavia Chavez-Richmond Joseph Gordon-Levitt Paul Bellefeuille Ben Bunnag Michael Burnell Frankie Francois Marcela Jaramillo Gabrielle Lorthe Rob Lévesque Paul Tawczynski,Lionsgate MRC T-Street
Bohemian Rhapsody,Singer Freddie Mercury guitarist Brian May drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock n roll band Queen in 1970. Hit songs become instant classics. When Mercurys increasingly wild lifestyle starts to spiral out of control Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.,Music Drama,Rami Malek Gwilym Lee Ben Hardy Joseph Mazzello Lucy Boynton Aidan Gillen Allen Leech Tom Hollander Mike Myers Aaron McCusker Meneka Das Ace Bhatti Priya Blackburn Max Bennett Dermot Murphy Dickie Beau Jack Roth Neil Fox-Roberts Jess Radomska Michelle Duncan Ross Green Bruce Mackinnon Joshua Higgott Pat Lally William Owen Philip Andrew Truempi Tim Plester Felipe Bejarano Kieran Hardcastle Martin Oelbermann Ian Gabriel Dumdum Matt Greenwood Royce Cronin James MacLaren Andrew Bowerman Drew P. Seren Gibson Honor Hellon Rosy Benjamin Leila Crerar Katherine Newman Adam Rauf Peter Howe John Ottman James Wallace Matthew Houston Scott Morrison Watson Devlin Lloyd Stefan Kopiecki Garry Summers Matthew Fredricks Ian Jareth Williamson Adam Lazarus Johanna Thea Adam Lambert Andreea Helen David Jason Lines Adam James Johnston Freddie Mercury Charlotte Sharland Ray Andrew Vincent Andriano Lasco Atkins Michael Ballard Fiona Burt Kiana Chang Sigel Milo Chang Sigel Jonathan Cheetham Michael Cobb Peter Coe Ellis Crewe-Candy Adrian Danila Rochelle De-Terville Steffan Donnelly Chris Ecob Amor Evans Karl Farrer Jesús Gallo Carla Garratt Flora Grant Shane Griffin Rishi Gupta James Hare Ian Harrod Leo Hunter Timothy Christian Jansen Sammy Johnston Mark Kempson Doug Kirby Lex Lamprey Jorge Leon Marian Lorencik Ian Mansfield Kas Meghani Alicia Mencía Castaño Philips Nortey Jose Palma Richard Price Jason Redshaw Graham J. Reeves Jonathan Rushby-Taylor Freddie Ryde Linus Scheithauer Bobby Shue Lee Simmons Dave Simon Amanda Smith Winson Ting Stuart Whelan Aidan White Sarah Woodruff Miroslav Zaruba Joanna Zwierzynska,20th Century Fox Regency Enterprises GK Films TSG Entertainment
