Award Title,film_name,Nominee Name(s),Won,Year,url
Actor in a Leading Role,Joker,Joaquin Phoenix,1,2020,https://letterboxd.com/film/joker-2019/
Actor in a Leading Role,Pain and Glory,Antonio Banderas,0,2020,https://letterboxd.com/film/pain-and-glory/
Actor in a Leading Role,Once upon a Time...in Hollywood,Leonardo DiCaprio,0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Actor in a Leading Role,Marriage Story,Adam Driver,0,2020,https://letterboxd.com/film/marriage-story-2019/
Actor in a Leading Role,The Two Popes,Jonathan Pryce,0,2020,https://letterboxd.com/film/the-two-popes/
Actor in a Supporting Role,Once upon a Time...in Hollywood,Brad Pitt,1,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Actor in a Supporting Role,A Beautiful Day in the Neighborhood,Tom Hanks,0,2020,https://letterboxd.com/film/a-beautiful-day-in-the-neighborhood/
Actor in a Supporting Role,The Two Popes,Anthony Hopkins,0,2020,https://letterboxd.com/film/the-two-popes/
Actor in a Supporting Role,The Irishman,Al Pacino,0,2020,https://letterboxd.com/film/the-irishman-2019/
Actor in a Supporting Role,The Irishman,Joe Pesci,0,2020,https://letterboxd.com/film/the-irishman-2019/
Actress in a Leading Role,Judy,Renée Zellweger,1,2020,https://letterboxd.com/film/judy-2019/
Actress in a Leading Role,Harriet,Cynthia Erivo,0,2020,https://letterboxd.com/film/harriet/
Actress in a Leading Role,Marriage Story,Scarlett Johansson,0,2020,https://letterboxd.com/film/marriage-story-2019/
Actress in a Leading Role,Little Women,Saoirse Ronan,0,2020,https://letterboxd.com/film/little-women-2019/
Actress in a Leading Role,Bombshell,Charlize Theron,0,2020,https://letterboxd.com/film/bombshell-2019/
Actress in a Supporting Role,Marriage Story,Laura Dern,1,2020,https://letterboxd.com/film/marriage-story-2019/
Actress in a Supporting Role,Richard Jewell,Kathy Bates,0,2020,https://letterboxd.com/film/richard-jewell/
Actress in a Supporting Role,Jojo Rabbit,Scarlett Johansson,0,2020,https://letterboxd.com/film/jojo-rabbit/
Actress in a Supporting Role,Little Women,Florence Pugh,0,2020,https://letterboxd.com/film/little-women-2019/
Actress in a Supporting Role,Bombshell,Margot Robbie,0,2020,https://letterboxd.com/film/bombshell-2019/
Animated Feature Film,Toy Story 4,"Josh Cooley, Mark Nielsen and Jonas Rivera",1,2020,https://letterboxd.com/film/toy-story-4/
Animated Feature Film,How to Train Your Dragon: The Hidden World,"Dean DeBlois, Bradford Lewis and Bonnie Arnold",0,2020,https://letterboxd.com/film/how-to-train-your-dragon-the-hidden-world/
Animated Feature Film,I Lost My Body,Jérémy Clapin and Marc du Pontavice,0,2020,https://letterboxd.com/film/i-lost-my-body/
Animated Feature Film,Klaus,"Sergio Pablos, Jinko Gotoh and Marisa Román",0,2020,https://letterboxd.com/film/klaus/
Animated Feature Film,Missing Link,"Chris Butler, Arianne Sutner and Travis Knight",0,2020,https://letterboxd.com/film/missing-link-2019/
Cinematography,1917,Roger Deakins,1,2020,https://letterboxd.com/film/1917/
Cinematography,The Irishman,Rodrigo Prieto,0,2020,https://letterboxd.com/film/the-irishman-2019/
Cinematography,Joker,Lawrence Sher,0,2020,https://letterboxd.com/film/joker-2019/
Cinematography,The Lighthouse,Jarin Blaschke,0,2020,https://letterboxd.com/film/the-lighthouse-2019/
Cinematography,Once upon a Time...in Hollywood,Robert Richardson,0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Costume Design,Little Women,Jacqueline Durran,1,2020,https://letterboxd.com/film/little-women-2019/
Costume Design,The Irishman,Sandy Powell and Christopher Peterson,0,2020,https://letterboxd.com/film/the-irishman-2019/
Costume Design,Jojo Rabbit,Mayes C. Rubeo,0,2020,https://letterboxd.com/film/jojo-rabbit/
Costume Design,Joker,Mark Bridges,0,2020,https://letterboxd.com/film/joker-2019/
Costume Design,Once upon a Time...in Hollywood,Arianne Phillips,0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Directing,Parasite,Bong Joon Ho,1,2020,https://letterboxd.com/film/parasite-2019/
Directing,The Irishman,Martin Scorsese,0,2020,https://letterboxd.com/film/the-irishman-2019/
Directing,Joker,Todd Phillips,0,2020,https://letterboxd.com/film/joker-2019/
Directing,1917,Sam Mendes,0,2020,https://letterboxd.com/film/1917/
Directing,Once upon a Time...in Hollywood,Quentin Tarantino,0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Documentary (Feature),American Factory,"Steven Bognar, Julia Reichert and Jeff Reichert",1,2020,https://letterboxd.com/film/american-factory/
Documentary (Feature),The Cave,"Feras Fayyad, Kirstine Barfod and Sigrid Dyekjær",0,2020,https://letterboxd.com/film/the-cave-2019/
Documentary (Feature),The Edge of Democracy,"Petra Costa, Joanna Natasegara, Shane Boris and Tiago Pavan",0,2020,https://letterboxd.com/film/the-edge-of-democracy/
Documentary (Feature),For Sama,Waad al-Kateab and Edward Watts,0,2020,https://letterboxd.com/film/for-sama/
Documentary (Feature),Honeyland,"Ljubo Stefanov, Tamara Kotevska and Atanas Georgiev",0,2020,https://letterboxd.com/film/honeyland-2019/
Documentary (Short Subject),Learning to Skateboard in a Warzone (If You're a Girl),Carol Dysinger and Elena Andreicheva,1,2020,https://letterboxd.com/film/learning-to-skateboard-in-a-warzone-if-youre-a-girl/
Documentary (Short Subject),In the Absence,Yi Seung-Jun and Gary Byung-Seok Kam,0,2020,https://letterboxd.com/film/in-the-absence/
Documentary (Short Subject),Life Overtakes Me,John Haptas and Kristine Samuelson,0,2020,https://letterboxd.com/film/life-overtakes-me/
Documentary (Short Subject),St. Louis Superman,Smriti Mundhra and Sami Khan,0,2020,https://letterboxd.com/film/st-louis-superman/
Documentary (Short Subject),Walk Run Cha-Cha,Laura Nix and Colette Sandstedt,0,2020,https://letterboxd.com/film/walk-run-cha-cha/
Film Editing,Ford v Ferrari,Michael McCusker and Andrew Buckland,1,2020,https://letterboxd.com/film/ford-v-ferrari/
Film Editing,The Irishman,Thelma Schoonmaker,0,2020,https://letterboxd.com/film/the-irishman-2019/
Film Editing,Jojo Rabbit,Tom Eagles,0,2020,https://letterboxd.com/film/jojo-rabbit/
Film Editing,Joker,Jeff Groth,0,2020,https://letterboxd.com/film/joker-2019/
Film Editing,Parasite,Yang Jinmo,0,2020,https://letterboxd.com/film/parasite-2019/
International Feature Film,Parasite,South Korea,1,2020,https://letterboxd.com/film/parasite-2019/
International Feature Film,Corpus Christi,Poland,0,2020,https://letterboxd.com/film/corpus-christi-2019/
International Feature Film,Honeyland,North Macedonia,0,2020,https://letterboxd.com/film/honeyland-2019/
International Feature Film,Les Misérables,France,0,2020,https://letterboxd.com/film/les-miserables-2019/
International Feature Film,Pain and Glory,Spain,0,2020,https://letterboxd.com/film/pain-and-glory/
Makeup and Hairstyling,Bombshell,"Kazu Hiro, Anne Morgan and Vivian Baker",1,2020,https://letterboxd.com/film/bombshell-2019/
Makeup and Hairstyling,Joker,Nicki Ledermann and Kay Georgiou,0,2020,https://letterboxd.com/film/joker-2019/
Makeup and Hairstyling,Judy,Jeremy Woodhead,0,2020,https://letterboxd.com/film/judy-2019/
Makeup and Hairstyling,Maleficent: Mistress of Evil,"Paul Gooch, Arjen Tuiten and David White",0,2020,https://letterboxd.com/film/maleficent-mistress-of-evil/
Makeup and Hairstyling,1917,"Naomi Donne, Tristan Versluis and Rebecca Cole",0,2020,https://letterboxd.com/film/1917/
Music (Original Score),Joker,Hildur Guðnadóttir,1,2020,https://letterboxd.com/film/joker-2019/
Music (Original Score),Little Women,Alexandre Desplat,0,2020,https://letterboxd.com/film/little-women-2019/
Music (Original Score),Marriage Story,Randy Newman,0,2020,https://letterboxd.com/film/marriage-story-2019/
Music (Original Score),1917,Thomas Newman,0,2020,https://letterboxd.com/film/1917/
Music (Original Score),Star Wars: The Rise of Skywalker,John Williams,0,2020,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/
Best Picture,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers",1,2020,https://letterboxd.com/film/parasite-2019/
Best Picture,Ford v Ferrari,"Peter Chernin, Jenno Topping and James Mangold, Producers",0,2020,https://letterboxd.com/film/ford-v-ferrari/
Best Picture,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",0,2020,https://letterboxd.com/film/the-irishman-2019/
Best Picture,Jojo Rabbit,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",0,2020,https://letterboxd.com/film/jojo-rabbit/
Best Picture,Joker,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",0,2020,https://letterboxd.com/film/joker-2019/
Best Picture,Little Women,"Amy Pascal, Producer",0,2020,https://letterboxd.com/film/little-women-2019/
Best Picture,Marriage Story,"Noah Baumbach and David Heyman, Producers",0,2020,https://letterboxd.com/film/marriage-story-2019/
