Award Title,film_name,Nominee Name(s),Won,Year,url
Best Picture,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",0,2020,https://letterboxd.com/film/1917/
Best Picture,Once upon a Time...in Hollywood,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Production Design,Once upon a Time...in Hollywood,Barbara Ling; Set Decoration: Nancy Haigh,1,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Production Design,The Irishman,Bob Shaw; Set Decoration: Regina Graves,0,2020,https://letterboxd.com/film/the-irishman-2019/
Production Design,Jojo Rabbit,Ra Vincent; Set Decoration: Nora Sopková,0,2020,https://letterboxd.com/film/jojo-rabbit/
Production Design,1917,Dennis Gassner; Set Decoration: Lee Sandales,0,2020,https://letterboxd.com/film/1917/
Production Design,Parasite,Lee Ha Jun; Set Decoration: Cho Won Woo,0,2020,https://letterboxd.com/film/parasite-2019/
Short Film (Animated),Hair Love,Matthew A. Cherry and Karen Rupert Toliver,1,2020,https://letterboxd.com/film/hair-love/
Short Film (Animated),Dcera (Daughter),Daria Kashcheeva,0,2020,https://letterboxd.com/film/daughter-2019/
Short Film (Animated),Kitbull,Rosana Sullivan and Kathryn Hendrickson,0,2020,https://letterboxd.com/film/kitbull/
Short Film (Animated),Memorable,Bruno Collet and Jean-François Le Corre,0,2020,https://letterboxd.com/film/memorable/
Short Film (Animated),Sister,Siqi Song,0,2020,https://letterboxd.com/film/sister-2019/
Short Film (Live Action),The Neighbors' Window,Marshall Curry,1,2020,https://letterboxd.com/film/the-neighbors-window/
Short Film (Live Action),Brotherhood,Meryam Joobeur and Maria Gracia Turgeon,0,2020,https://letterboxd.com/film/brotherhood-2019/
Short Film (Live Action),Nefta Football Club,Yves Piat and Damien Megherbi,0,2020,https://letterboxd.com/film/nefta-football-club/
Short Film (Live Action),Saria,Bryan Buckley and Matt Lefebvre,0,2020,https://letterboxd.com/film/saria/
Short Film (Live Action),A Sister,Delphine Girard,0,2020,https://letterboxd.com/film/a-sister/
Sound Editing,Ford v Ferrari,Donald Sylvester,1,2020,https://letterboxd.com/film/ford-v-ferrari/
Sound Editing,Joker,Alan Robert Murray,0,2020,https://letterboxd.com/film/joker-2019/
Sound Editing,1917,Oliver Tarney and Rachael Tate,0,2020,https://letterboxd.com/film/1917/
Sound Editing,Once upon a Time...in Hollywood,Wylie Stateman,0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Sound Editing,Star Wars: The Rise of Skywalker,Matthew Wood and David Acord,0,2020,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/
Sound Mixing,1917,Mark Taylor and Stuart Wilson,1,2020,https://letterboxd.com/film/1917/
Sound Mixing,Ad Astra,"Gary Rydstrom, Tom Johnson and Mark Ulano",0,2020,https://letterboxd.com/film/ad-astra-2019/
Sound Mixing,Ford v Ferrari,"Paul Massey, David Giammarco and Steven A. Morrow",0,2020,https://letterboxd.com/film/ford-v-ferrari/
Sound Mixing,Joker,"Tom Ozanich, Dean Zupancic and Tod Maitland",0,2020,https://letterboxd.com/film/joker-2019/
Sound Mixing,Once upon a Time...in Hollywood,"Michael Minkler, Christian P. Minkler and Mark Ulano",0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Visual Effects,1917,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",1,2020,https://letterboxd.com/film/1917/
Visual Effects,Avengers: Endgame,"Dan DeLeeuw, Russell Earl, Matt Aitken and Dan Sudick",0,2020,https://letterboxd.com/film/avengers-endgame/
Visual Effects,The Irishman,"Pablo Helman, Leandro Estebecorena, Nelson Sepulveda-Fauser and Stephane Grabli",0,2020,https://letterboxd.com/film/the-irishman-2019/
Visual Effects,The Lion King,"Robert Legato, Adam Valdez, Andrew R. Jones and Elliot Newman",0,2020,https://letterboxd.com/film/the-lion-king-2019/
Visual Effects,Star Wars: The Rise of Skywalker,"Roger Guyett, Neal Scanlan, Patrick Tubach and Dominic Tuohy",0,2020,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/
Writing (Adapted Screenplay),Jojo Rabbit,Taika Waititi,1,2020,https://letterboxd.com/film/jojo-rabbit/
Writing (Adapted Screenplay),The Irishman,Steven Zaillian,0,2020,https://letterboxd.com/film/the-irishman-2019/
Writing (Adapted Screenplay),Joker,Todd Phillips & Scott Silver,0,2020,https://letterboxd.com/film/joker-2019/
Writing (Adapted Screenplay),Little Women,Greta Gerwig,0,2020,https://letterboxd.com/film/little-women-2019/
Writing (Adapted Screenplay),The Two Popes,Anthony McCarten,0,2020,https://letterboxd.com/film/the-two-popes/
Writing (Original Screenplay),Parasite,"Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho",1,2020,https://letterboxd.com/film/parasite-2019/
Writing (Original Screenplay),Knives Out,Rian Johnson,0,2020,https://letterboxd.com/film/knives-out-2019/
Writing (Original Screenplay),Marriage Story,Noah Baumbach,0,2020,https://letterboxd.com/film/marriage-story-2019/
Writing (Original Screenplay),1917,Sam Mendes & Krysty Wilson-Cairns,0,2020,https://letterboxd.com/film/1917/
Writing (Original Screenplay),Once upon a Time...in Hollywood,Quentin Tarantino,0,2020,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Actor in a Leading Role,Bohemian Rhapsody,Rami Malek,1,2019,https://letterboxd.com/film/bohemian-rhapsody/
Actor in a Leading Role,Vice,Christian Bale,0,2019,https://letterboxd.com/film/vice-2018/
Actor in a Leading Role,A Star Is Born,Bradley Cooper,0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Actor in a Leading Role,At Eternity's Gate,Willem Dafoe,0,2019,https://letterboxd.com/film/at-eternitys-gate/
Actor in a Leading Role,Green Book,Viggo Mortensen,0,2019,https://letterboxd.com/film/green-book/
Actor in a Supporting Role,Green Book,Mahershala Ali,1,2019,https://letterboxd.com/film/green-book/
Actor in a Supporting Role,BlacKkKlansman,Adam Driver,0,2019,https://letterboxd.com/film/blackkklansman/
Actor in a Supporting Role,A Star Is Born,Sam Elliott,0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Actor in a Supporting Role,Can You Ever Forgive Me?,Richard E. Grant,0,2019,https://letterboxd.com/film/can-you-ever-forgive-me/
Actor in a Supporting Role,Vice,Sam Rockwell,0,2019,https://letterboxd.com/film/vice-2018/
Actress in a Leading Role,The Favourite,Olivia Colman,1,2019,https://letterboxd.com/film/the-favourite/
Actress in a Leading Role,Roma,Yalitza Aparicio,0,2019,https://letterboxd.com/film/roma-2018/
Actress in a Leading Role,The Wife,Glenn Close,0,2019,https://letterboxd.com/film/the-wife-2017/
Actress in a Leading Role,A Star Is Born,Lady Gaga,0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Actress in a Leading Role,Can You Ever Forgive Me?,Melissa McCarthy,0,2019,https://letterboxd.com/film/can-you-ever-forgive-me/
Actress in a Supporting Role,If Beale Street Could Talk,Regina King,1,2019,https://letterboxd.com/film/if-beale-street-could-talk/
Actress in a Supporting Role,Vice,Amy Adams,0,2019,https://letterboxd.com/film/vice-2018/
Actress in a Supporting Role,Roma,Marina de Tavira,0,2019,https://letterboxd.com/film/roma-2018/
Actress in a Supporting Role,The Favourite,Emma Stone,0,2019,https://letterboxd.com/film/the-favourite/
Actress in a Supporting Role,The Favourite,Rachel Weisz,0,2019,https://letterboxd.com/film/the-favourite/
Animated Feature Film,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller",1,2019,https://letterboxd.com/film/spider-man-into-the-spider-verse/
Animated Feature Film,Incredibles 2,"Brad Bird, John Walker and Nicole Paradis Grindle",0,2019,https://letterboxd.com/film/incredibles-2/
Animated Feature Film,Isle of Dogs,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson",0,2019,https://letterboxd.com/film/isle-of-dogs-2018/
Animated Feature Film,Mirai,Mamoru Hosoda and Yuichiro Saito,0,2019,https://letterboxd.com/film/mirai/
Animated Feature Film,Ralph Breaks the Internet,"Rich Moore, Phil Johnston and Clark Spencer",0,2019,https://letterboxd.com/film/ralph-breaks-the-internet/
Cinematography,Roma,Alfonso Cuarón,1,2019,https://letterboxd.com/film/roma-2018/
Cinematography,Cold War,Łukasz Żal,0,2019,https://letterboxd.com/film/cold-war-2018/
Cinematography,The Favourite,Robbie Ryan,0,2019,https://letterboxd.com/film/the-favourite/
Cinematography,Never Look Away,Caleb Deschanel,0,2019,https://letterboxd.com/film/never-look-away/
Cinematography,A Star Is Born,Matthew Libatique,0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Costume Design,Black Panther,Ruth Carter,1,2019,https://letterboxd.com/film/black-panther/
Costume Design,The Ballad of Buster Scruggs,Mary Zophres,0,2019,https://letterboxd.com/film/the-ballad-of-buster-scruggs/
Costume Design,The Favourite,Sandy Powell,0,2019,https://letterboxd.com/film/the-favourite/
Costume Design,Mary Poppins Returns,Sandy Powell,0,2019,https://letterboxd.com/film/mary-poppins-returns/
Costume Design,Mary Queen of Scots,Alexandra Byrne,0,2019,https://letterboxd.com/film/mary-queen-of-scots-2018/
Directing,Roma,Alfonso Cuarón,1,2019,https://letterboxd.com/film/roma-2018/
Directing,BlacKkKlansman,Spike Lee,0,2019,https://letterboxd.com/film/blackkklansman/
Directing,Cold War,Paweł Pawlikowski,0,2019,https://letterboxd.com/film/cold-war-2018/
Directing,The Favourite,Yorgos Lanthimos,0,2019,https://letterboxd.com/film/the-favourite/
Directing,Vice,Adam McKay,0,2019,https://letterboxd.com/film/vice-2018/
Documentary (Feature),Free Solo,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill",1,2019,https://letterboxd.com/film/free-solo/
Documentary (Feature),"Hale County This Morning, This Evening","RaMell Ross, Joslyn Barnes and Su Kim",0,2019,https://letterboxd.com/film/hale-county-this-morning-this-evening/
Documentary (Feature),Minding the Gap,Bing Liu and Diane Quon,0,2019,https://letterboxd.com/film/minding-the-gap/
Documentary (Feature),Of Fathers and Sons,"Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert",0,2019,https://letterboxd.com/film/of-fathers-and-sons/
Documentary (Feature),RBG,Betsy West and Julie Cohen,0,2019,https://letterboxd.com/film/rbg/
Documentary (Short Subject),Period. End of Sentence.,Rayka Zehtabchi and Melissa Berton,1,2019,https://letterboxd.com/film/period-end-of-sentence/
Documentary (Short Subject),Black Sheep,Ed Perkins and Jonathan Chinn,0,2019,https://letterboxd.com/film/black-sheep-2018/
Documentary (Short Subject),End Game,Rob Epstein and Jeffrey Friedman,0,2019,https://letterboxd.com/film/end-game-2018/
Documentary (Short Subject),Lifeboat,Skye Fitzgerald and Bryn Mooser,0,2019,https://letterboxd.com/film/lifeboat-2018/
Documentary (Short Subject),A Night at The Garden,Marshall Curry,0,2019,https://letterboxd.com/film/a-night-at-the-garden/
Film Editing,Bohemian Rhapsody,John Ottman,1,2019,https://letterboxd.com/film/bohemian-rhapsody/
Film Editing,BlacKkKlansman,Barry Alexander Brown,0,2019,https://letterboxd.com/film/blackkklansman/
Film Editing,The Favourite,Yorgos Mavropsaridis,0,2019,https://letterboxd.com/film/the-favourite/
Film Editing,Green Book,Patrick J. Don Vito,0,2019,https://letterboxd.com/film/green-book/
Film Editing,Vice,Hank Corwin,0,2019,https://letterboxd.com/film/vice-2018/
Foreign Language Film,Roma,Mexico,1,2019,https://letterboxd.com/film/roma-2018/
Foreign Language Film,Capernaum,Lebanon,0,2019,https://letterboxd.com/film/capernaum/
Foreign Language Film,Cold War,Poland,0,2019,https://letterboxd.com/film/cold-war-2018/
Foreign Language Film,Never Look Away,Germany,0,2019,https://letterboxd.com/film/never-look-away/
Foreign Language Film,Shoplifters,Japan,0,2019,https://letterboxd.com/film/shoplifters/
Makeup and Hairstyling,Vice,"Greg Cannom, Kate Biscoe and Patricia Dehaney",1,2019,https://letterboxd.com/film/vice-2018/
Makeup and Hairstyling,Border,Göran Lundström and Pamela Goldammer,0,2019,https://letterboxd.com/film/border-2018/
Makeup and Hairstyling,Mary Queen of Scots,"Jenny Shircore, Marc Pilcher and Jessica Brooks",0,2019,https://letterboxd.com/film/mary-queen-of-scots-2018/
Music (Original Score),Black Panther,Ludwig Goransson,1,2019,https://letterboxd.com/film/black-panther/
Music (Original Score),BlacKkKlansman,Terence Blanchard,0,2019,https://letterboxd.com/film/blackkklansman/
Music (Original Score),If Beale Street Could Talk,Nicholas Britell,0,2019,https://letterboxd.com/film/if-beale-street-could-talk/
Music (Original Score),Isle of Dogs,Alexandre Desplat,0,2019,https://letterboxd.com/film/isle-of-dogs-2018/
Music (Original Score),Mary Poppins Returns,Marc Shaiman,0,2019,https://letterboxd.com/film/mary-poppins-returns/
Best Picture,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",1,2019,https://letterboxd.com/film/green-book/
Best Picture,Black Panther,"Kevin Feige, Producer",0,2019,https://letterboxd.com/film/black-panther/
Best Picture,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",0,2019,https://letterboxd.com/film/blackkklansman/
Best Picture,Bohemian Rhapsody,"Graham King, Producer",0,2019,https://letterboxd.com/film/bohemian-rhapsody/
Best Picture,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",0,2019,https://letterboxd.com/film/the-favourite/
Best Picture,Roma,"Gabriela Rodríguez and Alfonso Cuarón, Producers",0,2019,https://letterboxd.com/film/roma-2018/
Best Picture,A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Best Picture,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",0,2019,https://letterboxd.com/film/vice-2018/
Production Design,Black Panther,Hannah Beachler; Set Decoration: Jay Hart,1,2019,https://letterboxd.com/film/black-panther/
Production Design,The Favourite,Fiona Crombie; Set Decoration: Alice Felton,0,2019,https://letterboxd.com/film/the-favourite/
Production Design,First Man,Nathan Crowley; Set Decoration: Kathy Lucas,0,2019,https://letterboxd.com/film/first-man/
Production Design,Mary Poppins Returns,John Myhre; Set Decoration: Gordon Sim,0,2019,https://letterboxd.com/film/mary-poppins-returns/
Production Design,Roma,Eugenio Caballero; Set Decoration: Bárbara Enríquez,0,2019,https://letterboxd.com/film/roma-2018/
Short Film (Animated),Bao,Domee Shi and Becky Neiman-Cobb,1,2019,https://letterboxd.com/film/bao-2018/
Short Film (Animated),Animal Behaviour,Alison Snowden and David Fine,0,2019,https://letterboxd.com/film/animal-behaviour/
Short Film (Animated),Late Afternoon,Louise Bagnall and Nuria González Blanco,0,2019,https://letterboxd.com/film/late-afternoon/
Short Film (Animated),One Small Step,Andrew Chesworth and Bobby Pontillas,0,2019,https://letterboxd.com/film/one-small-step/
Short Film (Animated),Weekends,Trevor Jimenez,0,2019,https://letterboxd.com/film/weekends-2017/
Short Film (Live Action),Skin,Guy Nattiv and Jaime Ray Newman,1,2019,https://letterboxd.com/film/skin-2018/
Short Film (Live Action),Detainment,Vincent Lambe and Darren Mahon,0,2019,https://letterboxd.com/film/detainment/
Short Film (Live Action),Fauve,Jeremy Comte and Maria Gracia Turgeon,0,2019,https://letterboxd.com/film/fauve/
Short Film (Live Action),Marguerite,Marianne Farley and Marie-Hélène Panisset,0,2019,https://letterboxd.com/film/marguerite-2018/
Short Film (Live Action),Mother,Rodrigo Sorogoyen and María del Puy Alvarado,0,2019,https://letterboxd.com/film/mother-2018/
Sound Editing,Bohemian Rhapsody,John Warhurst and Nina Hartstone,1,2019,https://letterboxd.com/film/bohemian-rhapsody/
Sound Editing,Black Panther,Benjamin A. Burtt and Steve Boeddeker,0,2019,https://letterboxd.com/film/black-panther/
Sound Editing,First Man,Ai-Ling Lee and Mildred Iatrou Morgan,0,2019,https://letterboxd.com/film/first-man/
Sound Editing,A Quiet Place,Ethan Van der Ryn and Erik Aadahl,0,2019,https://letterboxd.com/film/a-quiet-place-2018/
Sound Editing,Roma,Sergio Díaz and Skip Lievsay,0,2019,https://letterboxd.com/film/roma-2018/
Sound Mixing,Bohemian Rhapsody,"Paul Massey, Tim Cavagin and John Casali",1,2019,https://letterboxd.com/film/bohemian-rhapsody/
Sound Mixing,Black Panther,"Steve Boeddeker, Brandon Proctor and Peter Devlin",0,2019,https://letterboxd.com/film/black-panther/
Sound Mixing,First Man,"Jon Taylor, Frank A. Montaño, Ai-Ling Lee and Mary H. Ellis",0,2019,https://letterboxd.com/film/first-man/
Sound Mixing,Roma,"Skip Lievsay, Craig Henighan and José Antonio García",0,2019,https://letterboxd.com/film/roma-2018/
Sound Mixing,A Star Is Born,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Visual Effects,First Man,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm",1,2019,https://letterboxd.com/film/first-man/
Visual Effects,Avengers: Infinity War,"Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick",0,2019,https://letterboxd.com/film/avengers-infinity-war/
Visual Effects,Christopher Robin,"Christopher Lawrence, Michael Eames, Theo Jones and Chris Corbould",0,2019,https://letterboxd.com/film/christopher-robin/
Visual Effects,Ready Player One,"Roger Guyett, Grady Cofer, Matthew E. Butler and David Shirk",0,2019,https://letterboxd.com/film/ready-player-one/
Visual Effects,Solo: A Star Wars Story,"Rob Bredow, Patrick Tubach, Neal Scanlan and Dominic Tuohy",0,2019,https://letterboxd.com/film/solo-a-star-wars-story/
Writing (Adapted Screenplay),BlacKkKlansman,Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee,1,2019,https://letterboxd.com/film/blackkklansman/
Writing (Adapted Screenplay),The Ballad of Buster Scruggs,Joel Coen & Ethan Coen,0,2019,https://letterboxd.com/film/the-ballad-of-buster-scruggs/
Writing (Adapted Screenplay),Can You Ever Forgive Me?,Nicole Holofcener and Jeff Whitty,0,2019,https://letterboxd.com/film/can-you-ever-forgive-me/
Writing (Adapted Screenplay),If Beale Street Could Talk,Barry Jenkins,0,2019,https://letterboxd.com/film/if-beale-street-could-talk/
Writing (Adapted Screenplay),A Star Is Born,Eric Roth and Bradley Cooper & Will Fetters,0,2019,https://letterboxd.com/film/a-star-is-born-2018/
Writing (Original Screenplay),Green Book,"Nick Vallelonga, Brian Currie, Peter Farrelly",1,2019,https://letterboxd.com/film/green-book/
Writing (Original Screenplay),The Favourite,Deborah Davis and Tony McNamara,0,2019,https://letterboxd.com/film/the-favourite/
Writing (Original Screenplay),First Reformed,Paul Schrader,0,2019,https://letterboxd.com/film/first-reformed/
Writing (Original Screenplay),Roma,Alfonso Cuarón,0,2019,https://letterboxd.com/film/roma-2018/
