Award Title,film_name,Nominee Name(s),Won,Year,url
Actor in a Leading Role,The Artist,Jean Dujardin,1,2012,https://letterboxd.com/film/the-artist/
Actor in a Leading Role,A Better Life,Demián Bichir,0,2012,https://letterboxd.com/film/a-better-life/
Actor in a Leading Role,The Descendants,George Clooney,0,2012,https://letterboxd.com/film/the-descendants/
Actor in a Leading Role,Tinker Tailor Soldier Spy,Gary Oldman,0,2012,https://letterboxd.com/film/tinker-tailor-soldier-spy/
Actor in a Leading Role,Moneyball,Brad Pitt,0,2012,https://letterboxd.com/film/moneyball/
Actor in a Supporting Role,Beginners,Christopher Plummer,1,2012,https://letterboxd.com/film/beginners/
Actor in a Supporting Role,My Week with Marilyn,Kenneth Branagh,0,2012,https://letterboxd.com/film/my-week-with-marilyn/
Actor in a Supporting Role,Moneyball,Jonah Hill,0,2012,https://letterboxd.com/film/moneyball/
Actor in a Supporting Role,Warrior,Nick Nolte,0,2012,https://letterboxd.com/film/warrior/
Actor in a Supporting Role,Extremely Loud & Incredibly Close,Max von Sydow,0,2012,https://letterboxd.com/film/extremely-loud-incredibly-close/
Actress in a Leading Role,The Iron Lady,Meryl Streep,1,2012,https://letterboxd.com/film/the-iron-lady/
Actress in a Leading Role,Albert Nobbs,Glenn Close,0,2012,https://letterboxd.com/film/albert-nobbs/
Actress in a Leading Role,The Help,Viola Davis,0,2012,https://letterboxd.com/film/the-help/
Actress in a Leading Role,The Girl with the Dragon Tattoo,Rooney Mara,0,2012,https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
Actress in a Leading Role,My Week with Marilyn,Michelle Williams,0,2012,https://letterboxd.com/film/my-week-with-marilyn/
Actress in a Supporting Role,The Help,Octavia Spencer,1,2012,https://letterboxd.com/film/the-help/
Actress in a Supporting Role,The Artist,Bérénice Bejo,0,2012,https://letterboxd.com/film/the-artist/
Actress in a Supporting Role,The Help,Jessica Chastain,0,2012,https://letterboxd.com/film/the-help/
Actress in a Supporting Role,Bridesmaids,Melissa McCarthy,0,2012,https://letterboxd.com/film/bridesmaids/
Actress in a Supporting Role,Albert Nobbs,Janet McTeer,0,2012,https://letterboxd.com/film/albert-nobbs/
Animated Feature Film,Rango,Gore Verbinski,1,2012,https://letterboxd.com/film/rango/
Animated Feature Film,A Cat in Paris,Alain Gagnol and Jean-Loup Felicioli,0,2012,https://letterboxd.com/film/a-cat-in-paris/
Animated Feature Film,Chico & Rita,Fernando Trueba and Javier Mariscal,0,2012,https://letterboxd.com/film/chico-rita/
Animated Feature Film,Kung Fu Panda 2,Jennifer Yuh Nelson,0,2012,https://letterboxd.com/film/kung-fu-panda-2/
Animated Feature Film,Puss in Boots,Chris Miller,0,2012,https://letterboxd.com/film/puss-in-boots/
Art Direction,Hugo,Dante Ferretti; Francesca Lo Schiavo,1,2012,https://letterboxd.com/film/hugo/
Art Direction,The Artist,Laurence Bennett; Robert Gould,0,2012,https://letterboxd.com/film/the-artist/
Art Direction,Harry Potter and the Deathly Hallows Part 2,Stuart Craig; Stephenie McMillan,0,2012,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
Art Direction,Midnight in Paris,Anne Seibel; Hélène Dubreuil,0,2012,https://letterboxd.com/film/midnight-in-paris/
Art Direction,War Horse,Rick Carter; Lee Sandales,0,2012,https://letterboxd.com/film/war-horse/
Cinematography,Hugo,Robert Richardson,1,2012,https://letterboxd.com/film/hugo/
Cinematography,The Artist,Guillaume Schiffman,0,2012,https://letterboxd.com/film/the-artist/
Cinematography,The Girl with the Dragon Tattoo,Jeff Cronenweth,0,2012,https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
Cinematography,The Tree of Life,Emmanuel Lubezki,0,2012,https://letterboxd.com/film/the-tree-of-life-2011/
Cinematography,War Horse,Janusz Kaminski,0,2012,https://letterboxd.com/film/war-horse/
Costume Design,The Artist,Mark Bridges,1,2012,https://letterboxd.com/film/the-artist/
Costume Design,Anonymous,Lisy Christl,0,2012,https://letterboxd.com/film/anonymous-2011/
Costume Design,Hugo,Sandy Powell,0,2012,https://letterboxd.com/film/hugo/
Costume Design,Jane Eyre,Michael O'Connor,0,2012,https://letterboxd.com/film/jane-eyre-2011/
Costume Design,W.E.,Arianne Phillips,0,2012,https://letterboxd.com/film/we/
Directing,The Artist,Michel Hazanavicius,1,2012,https://letterboxd.com/film/the-artist/
Directing,The Descendants,Alexander Payne,0,2012,https://letterboxd.com/film/the-descendants/
Directing,Hugo,Martin Scorsese,0,2012,https://letterboxd.com/film/hugo/
Directing,Midnight in Paris,Woody Allen,0,2012,https://letterboxd.com/film/midnight-in-paris/
Directing,The Tree of Life,Terrence Malick,0,2012,https://letterboxd.com/film/the-tree-of-life-2011/
Documentary (Feature),Undefeated,"TJ Martin, Dan Lindsay and Rich Middlemas",1,2012,https://letterboxd.com/film/undefeated-2011/
Documentary (Feature),Hell and Back Again,Danfung Dennis and Mike Lerner,0,2012,https://letterboxd.com/film/hell-and-back-again/
Documentary (Feature),If a Tree Falls: A Story of the Earth Liberation Front,Marshall Curry and Sam Cullman,0,2012,https://letterboxd.com/film/if-a-tree-falls-a-story-of-the-earth-liberation-front/
Documentary (Feature),Paradise Lost 3: Purgatory,Joe Berlinger and Bruce Sinofsky,0,2012,https://letterboxd.com/film/paradise-lost-3-purgatory/
Documentary (Feature),Pina,Wim Wenders and Gian-Piero Ringel,0,2012,https://letterboxd.com/film/pina/
Documentary (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy,1,2012,https://letterboxd.com/film/saving-face-2012/
Documentary (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,Robin Fryday and Gail Dolgin,0,2012,https://letterboxd.com/film/the-barber-of-birmingham-foot-soldier-of-the-civil-rights-movement/
Documentary (Short Subject),God Is the Bigger Elvis,Rebecca Cammisa and Julie Anderson,0,2012,https://letterboxd.com/film/god-is-the-bigger-elvis/
Documentary (Short Subject),Incident in New Baghdad,James Spione,0,2012,https://letterboxd.com/film/incident-in-new-baghdad/
Documentary (Short Subject),The Tsunami and the Cherry Blossom,Lucy Walker and Kira Carstensen,0,2012,https://letterboxd.com/film/the-tsunami-and-the-cherry-blossom/
Film Editing,The Girl with the Dragon Tattoo,Kirk Baxter and Angus Wall,1,2012,https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
Film Editing,The Artist,Anne-Sophie Bion and Michel Hazanavicius,0,2012,https://letterboxd.com/film/the-artist/
Film Editing,The Descendants,Kevin Tent,0,2012,https://letterboxd.com/film/the-descendants/
Film Editing,Hugo,Thelma Schoonmaker,0,2012,https://letterboxd.com/film/hugo/
Film Editing,Moneyball,Christopher Tellefsen,0,2012,https://letterboxd.com/film/moneyball/
Foreign Language Film,A Separation,Iran,1,2012,https://letterboxd.com/film/a-separation/
Foreign Language Film,Bullhead,Belgium,0,2012,https://letterboxd.com/film/bullhead/
Foreign Language Film,Footnote,Israel,0,2012,https://letterboxd.com/film/footnote/
