Award Title,film_name,Nominee Name(s),Won,Year,url
Makeup and Hairstyling,Suicide Squad,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson",1,2017,https://letterboxd.com/film/suicide-squad-2016/
Makeup and Hairstyling,A Man Called Ove,Eva von Bahr and Love Larson,0,2017,https://letterboxd.com/film/a-man-called-ove/
Makeup and Hairstyling,Star Trek Beyond,Joel Harlow and Richard Alonzo,0,2017,https://letterboxd.com/film/star-trek-beyond/
Music (Original Score),La La Land,Justin Hurwitz,1,2017,https://letterboxd.com/film/la-la-land/
Music (Original Score),Jackie,Mica Levi,0,2017,https://letterboxd.com/film/jackie-2016/
Music (Original Score),Lion,Dustin O'Halloran and Hauschka,0,2017,https://letterboxd.com/film/lion/
Music (Original Score),Moonlight,Nicholas Britell,0,2017,https://letterboxd.com/film/moonlight-2016/
Music (Original Score),Passengers,Thomas Newman,0,2017,https://letterboxd.com/film/passengers-2016/
Best Picture,Moonlight,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",1,2017,https://letterboxd.com/film/moonlight-2016/
Best Picture,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers",0,2017,https://letterboxd.com/film/arrival-2016/
Best Picture,Fences,"Scott Rudin, Denzel Washington and Todd Black, Producers",0,2017,https://letterboxd.com/film/fences-2016/
Best Picture,Hacksaw Ridge,"Bill Mechanic and David Permut, Producers",0,2017,https://letterboxd.com/film/hacksaw-ridge/
Best Picture,Hell or High Water,"Carla Hacken and Julie Yorn, Producers",0,2017,https://letterboxd.com/film/hell-or-high-water/
Best Picture,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers",0,2017,https://letterboxd.com/film/hidden-figures/
Best Picture,La La Land,"Fred Berger, Jordan Horowitz and Marc Platt, Producers",0,2017,https://letterboxd.com/film/la-la-land/
Best Picture,Lion,"Emile Sherman, Iain Canning and Angie Fielder, Producers",0,2017,https://letterboxd.com/film/lion/
Best Picture,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers",0,2017,https://letterboxd.com/film/manchester-by-the-sea/
Production Design,La La Land,David Wasco; Set Decoration: Sandy Reynolds-Wasco,1,2017,https://letterboxd.com/film/la-la-land/
Production Design,Arrival,Patrice Vermette; Set Decoration: Paul Hotte,0,2017,https://letterboxd.com/film/arrival-2016/
Production Design,Fantastic Beasts and Where to Find Them,Stuart Craig; Set Decoration: Anna Pinnock,0,2017,https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/
Production Design,"Hail, Caesar!",Jess Gonchor; Set Decoration: Nancy Haigh,0,2017,https://letterboxd.com/film/hail-caesar-2016/
